product,sales,date,region
pink morsel,$1638,06-02-2018,north
pink morsel,$1647,06-02-2018,south
pink morsel,$1731,06-02-2018,east
pink morsel,$1557,06-02-2018,west
pink morsel,$1587,07-02-2018,north
pink morsel,$1698,07-02-2018,south
pink morsel,$1542,07-02-2018,east
pink morsel,$1635,07-02-2018,west
pink morsel,$1602,08-02-2018,north
pink morsel,$1536,08-02-2018,south
pink morsel,$1503,08-02-2018,east
pink morsel,$1701,08-02-2018,west
pink morsel,$1758,09-02-2018,north
pink morsel,$1662,09-02-2018,south
pink morsel,$1782,09-02-2018,east
pink morsel,$1515,09-02-2018,west
pink morsel,$1662,10-02-2018,north
pink morsel,$1557,10-02-2018,south
pink morsel,$1650,10-02-2018,east
pink morsel,$1674,10-02-2018,west
pink morsel,$1554,11-02-2018,north
pink morsel,$1587,11-02-2018,south
pink morsel,$1563,11-02-2018,east
pink morsel,$1764,11-02-2018,west
pink morsel,$1758,12-02-2018,north
pink morsel,$1608,12-02-2018,south
pink morsel,$1569,12-02-2018,east
pink morsel,$1653,12-02-2018,west
pink morsel,$1572,13-02-2018,north
pink morsel,$1716,13-02-2018,south
pink morsel,$1773,13-02-2018,east
pink morsel,$1725,13-02-2018,west
pink morsel,$1767,14-02-2018,north
pink morsel,$1710,14-02-2018,south
pink morsel,$1698,14-02-2018,east
pink morsel,$1512,14-02-2018,west
pink morsel,$1746,15-02-2018,north
pink morsel,$1734,15-02-2018,south
pink morsel,$1524,15-02-2018,east
pink morsel,$1614,15-02-2018,west
pink morsel,$1578,16-02-2018,north
pink morsel,$1782,16-02-2018,south
pink morsel,$1527,16-02-2018,east
pink morsel,$1752,16-02-2018,west
pink morsel,$1785,17-02-2018,north
pink morsel,$1689,17-02-2018,south
pink morsel,$1641,17-02-2018,east
pink morsel,$1575,17-02-2018,west
pink morsel,$1644,18-02-2018,north
pink morsel,$1674,18-02-2018,south
pink morsel,$1551,18-02-2018,east
pink morsel,$1737,18-02-2018,west
pink morsel,$1563,19-02-2018,north
pink morsel,$1647,19-02-2018,south
pink morsel,$1605,19-02-2018,east
