product,sales,date,region
pink morsel,$1635,11-06-2019,north
pink morsel,$1563,11-06-2019,south
pink morsel,$1785,11-06-2019,east
pink morsel,$1521,11-06-2019,west
pink morsel,$1728,12-06-2019,north
pink morsel,$1515,12-06-2019,south
pink morsel,$1548,12-06-2019,east
pink morsel,$1677,12-06-2019,west
pink morsel,$1587,13-06-2019,north
pink morsel,$1719,13-06-2019,south
pink morsel,$1587,13-06-2019,east
pink morsel,$1773,13-06-2019,west
pink morsel,$1557,14-06-2019,north
pink morsel,$1680,14-06-2019,south
pink morsel,$1773,14-06-2019,east
pink morsel,$1509,14-06-2019,west
pink morsel,$1602,15-06-2019,north
pink morsel,$1794,15-06-2019,south
pink morsel,$1764,15-06-2019,east
pink morsel,$1785,15-06-2019,west
pink morsel,$1662,16-06-2019,north
pink morsel,$1563,16-06-2019,south
pink morsel,$1671,16-06-2019,east
pink morsel,$1533,16-06-2019,west
pink morsel,$1587,17-06-2019,north
pink morsel,$1512,17-06-2019,south
pink morsel,$1536,17-06-2019,east
pink morsel,$1566,17-06-2019,west
pink morsel,$1767,18-06-2019,north
pink morsel,$1614,18-06-2019,south
pink morsel,$1776,18-06-2019,east
pink morsel,$1728,18-06-2019,west
pink morsel,$1614,19-06-2019,north
pink morsel,$1572,19-06-2019,south
pink morsel,$1614,19-06-2019,east
pink morsel,$1734,19-06-2019,west
pink morsel,$1566,20-06-2019,north
pink morsel,$1632,20-06-2019,south
pink morsel,$1785,20-06-2019,east
pink morsel,$1770,20-06-2019,west
pink morsel,$1725,21-06-2019,north
pink morsel,$1542,21-06-2019,south
pink morsel,$1677,21-06-2019,east
pink morsel,$1533,21-06-2019,west
pink morsel,$1578,22-06-2019,north
pink morsel,$1713,22-06-2019,south
pink morsel,$1776,22-06-2019,east
pink morsel,$1515,22-06-2019,west
pink morsel,$1587,23-06-2019,north
pink morsel,$1770,23-06-2019,south
pink morsel,$1773,23-06-2019,east
pink morsel,$1671,23-06-2019,west
pink morsel,$1704,24-06-2019,north
pink morsel,$1545,24-06-2019,south
